idRuta,idViaje,accesoMinus
7180161307GL026,0016512024-03-19,1
7180161200GL026,0016532024-03-19,2
1700037606GL026,0019012024-03-19,1
1700037606GL026,0019022024-03-19,2
1700037606GL026,0019032024-03-19,1
1700037606GL026,0019042024-03-19,2
3760617000GL026,0019312024-03-19,1
3760617000GL026,0019322024-03-19,2
1700037606GL023,0019412024-03-19,1
1700037606GL023,0019422024-03-19,2
3760617000GL023,0019712024-03-19,1
3760617000GL023,0019712024-03-30,1
3760617000GL023,0019712024-05-02,1
3760617000GL023,0019722024-03-19,2
3760617000GL023,0019722024-03-30,2
3760617000GL023,0019722024-05-02,2
3760617000GL023,0019912024-03-19,1
3760617000GL023,0019912024-03-28,1
3760617000GL023,0019912024-03-30,1
3760617000GL023,0019912024-05-01,1
3760617000GL023,0019912024-05-02,1
3760617000GL023,0019922024-03-19,2
3760617000GL023,0019922024-03-28,2
3760617000GL023,0019922024-03-30,2
3760617000GL023,0019922024-05-01,2
3760617000GL023,0019922024-05-02,2
2210020309GL026,0025712024-04-08,2
6130771801GL026,0026412024-03-19,1
6120071801GL026,0026432024-03-19,2
1700056312GL026,0027612024-03-19,1
1700056312GL026,0027612024-03-28,1
1700056312GL026,0027612024-03-29,1
1700050300GL026,0027622024-03-19,2
1700050300GL026,0027622024-03-28,2
1700050300GL026,0027622024-03-29,2
1700056312GL026,0027632024-03-28,1
5631217000GL026,0027712024-03-19,1
5030017000GL026,0027722024-03-19,2
5631217000GL026,0027732024-03-31,1
1120013200GL026,0028012024-03-19,1
1151111208GL026,0028112024-03-19,1
1120811511GL026,0028212024-03-19,1
1320011200GL026,0028312024-03-19,1
2230894346GL026,0042012024-03-19,2
9434622308GL026,0042112024-03-19,2
2230894346GL026,0042212024-03-19,2
9434622308GL026,0042312024-03-19,2
1320071801GL023,0043712024-03-19,1
1320071801GL023,0043712024-04-22,1
1320071801GL023,0043712024-04-26,1
1320071801GL023,0043712024-04-29,1
1320071801GL023,0043712024-05-03,1
0404071801GL023,0043722024-03-19,2
0404071801GL023,0043722024-04-22,2
0404071801GL023,0043722024-04-26,2
0404071801GL023,0043722024-04-29,2
0404071801GL023,0043722024-05-03,2
1320011200GL023,0043732024-03-19,2
1320011200GL023,0043732024-04-22,2
1320011200GL023,0043732024-04-26,2
1320011200GL023,0043732024-04-29,2
1320011200GL023,0043732024-05-03,2
7180113200GL023,0043812024-03-19,1
7180113200GL023,0043812024-04-23,1
7180113200GL023,0043812024-04-26,1
7180113200GL023,0043812024-04-30,1
7180113200GL023,0043812024-05-03,1
7180104040GL023,0043822024-03-19,2
7180104040GL023,0043822024-04-23,2
7180104040GL023,0043822024-04-26,2
7180104040GL023,0043822024-04-30,2
7180104040GL023,0043822024-05-03,2
1120013200GL023,0043832024-03-19,2
1120013200GL023,0043832024-04-23,2
1120013200GL023,0043832024-04-26,2
1120013200GL023,0043832024-04-30,2
1120013200GL023,0043832024-05-03,2
6120071801GL026,0046012024-03-19,1
7180161200GL026,0046312024-03-19,1
7180111511GL023,0053012024-03-19,1
7180111511GL023,0053022024-03-19,2
1151171801GL023,0053312024-03-19,1
1151178400GL023,0053322024-03-19,2
2210020309GL026,0055112024-04-08,2
2030922100GL026,0055212024-04-08,2
2030922100GL026,0055812024-03-19,1
2030922100GL026,0055812024-04-01,1
2030922100GL026,0055812024-04-08,1
2210020309GL026,0056012024-03-19,1
2210020309GL026,0056012024-03-30,1
2210020309GL026,0056012024-04-01,1
